id, state, cur_score, action, reward, next_state, next_score
5,"[[32, 64, 16, 2], [0, 16, 4, 4], [0, 4, 0, 8], [0, 0, 0, 0]]",68144,down,0,"[[0, 0, 0, 0], [0, 64, 2, 2], [0, 16, 16, 4], [32, 4, 4, 8]]",68144
5,"[[0, 0, 0, 0], [0, 64, 2, 2], [0, 16, 16, 4], [32, 4, 4, 8]]",68144,left,44,"[[0, 0, 0, 0], [64, 4, 0, 0], [32, 4, 2, 0], [32, 8, 8, 0]]",68188
5,"[[0, 0, 0, 0], [64, 4, 0, 0], [32, 4, 2, 0], [32, 8, 8, 0]]",68188,up,72,"[[64, 8, 2, 0], [64, 8, 8, 0], [0, 0, 0, 0], [0, 0, 0, 4]]",68260
5,"[[64, 8, 2, 0], [64, 8, 8, 0], [0, 0, 0, 0], [0, 0, 0, 4]]",68260,down,144,"[[0, 0, 0, 0], [0, 0, 0, 0], [4, 0, 2, 0], [128, 16, 8, 4]]",68404
5,"[[0, 0, 0, 0], [0, 0, 0, 0], [4, 0, 2, 0], [128, 16, 8, 4]]",68404,left,0,"[[0, 0, 0, 0], [0, 4, 0, 0], [4, 2, 0, 0], [128, 16, 8, 4]]",68404
5,"[[0, 0, 0, 0], [0, 4, 0, 0], [4, 2, 0, 0], [128, 16, 8, 4]]",68404,up,0,"[[4, 4, 8, 4], [128, 2, 0, 0], [0, 16, 0, 0], [2, 0, 0, 0]]",68404
5,"[[4, 4, 8, 4], [128, 2, 0, 0], [0, 16, 0, 0], [2, 0, 0, 0]]",68404,left,8,"[[8, 8, 4, 0], [128, 2, 0, 4], [16, 0, 0, 0], [2, 0, 0, 0]]",68412
5,"[[8, 8, 4, 0], [128, 2, 0, 4], [16, 0, 0, 0], [2, 0, 0, 0]]",68412,right,16,"[[0, 0, 16, 4], [0, 128, 2, 4], [0, 0, 0, 16], [0, 2, 0, 2]]",68428
5,"[[0, 0, 16, 4], [0, 128, 2, 4], [0, 0, 0, 16], [0, 2, 0, 2]]",68428,down,8,"[[0, 2, 0, 0], [0, 0, 0, 8], [0, 128, 16, 16], [0, 2, 2, 2]]",68436
5,"[[0, 2, 0, 0], [0, 0, 0, 8], [0, 128, 16, 16], [0, 2, 2, 2]]",68436,left,36,"[[2, 0, 0, 0], [8, 0, 0, 0], [128, 32, 0, 0], [4, 2, 4, 0]]",68472
5,"[[2, 0, 0, 0], [8, 0, 0, 0], [128, 32, 0, 0], [4, 2, 4, 0]]",68472,up,0,"[[2, 32, 4, 0], [8, 2, 0, 0], [128, 0, 0, 0], [4, 4, 0, 0]]",68472
5,"[[2, 32, 4, 0], [8, 2, 0, 0], [128, 0, 0, 0], [4, 4, 0, 0]]",68472,right,8,"[[0, 2, 32, 4], [0, 2, 8, 2], [0, 0, 0, 128], [0, 0, 0, 8]]",68480
5,"[[0, 2, 32, 4], [0, 2, 8, 2], [0, 0, 0, 128], [0, 0, 0, 8]]",68480,down,4,"[[4, 0, 0, 4], [0, 0, 0, 2], [0, 0, 32, 128], [0, 4, 8, 8]]",68484
5,"[[4, 0, 0, 4], [0, 0, 0, 2], [0, 0, 32, 128], [0, 4, 8, 8]]",68484,right,24,"[[0, 0, 0, 8], [0, 0, 0, 2], [0, 2, 32, 128], [0, 0, 4, 16]]",68508
5,"[[0, 0, 0, 8], [0, 0, 0, 2], [0, 2, 32, 128], [0, 0, 4, 16]]",68508,left,0,"[[8, 0, 0, 0], [2, 0, 0, 0], [2, 32, 128, 2], [4, 16, 0, 0]]",68508
5,"[[8, 0, 0, 0], [2, 0, 0, 0], [2, 32, 128, 2], [4, 16, 0, 0]]",68508,up,4,"[[8, 32, 128, 2], [4, 16, 0, 0], [4, 0, 0, 0], [0, 2, 0, 0]]",68512
5,"[[8, 32, 128, 2], [4, 16, 0, 0], [4, 0, 0, 0], [0, 2, 0, 0]]",68512,up,8,"[[8, 32, 128, 2], [8, 16, 0, 0], [0, 2, 0, 0], [4, 0, 0, 0]]",68520
5,"[[8, 32, 128, 2], [8, 16, 0, 0], [0, 2, 0, 0], [4, 0, 0, 0]]",68520,down,16,"[[0, 0, 0, 0], [0, 32, 0, 2], [16, 16, 0, 0], [4, 2, 128, 2]]",68536
5,"[[0, 0, 0, 0], [0, 32, 0, 2], [16, 16, 0, 0], [4, 2, 128, 2]]",68536,left,32,"[[2, 0, 0, 0], [32, 2, 0, 0], [32, 0, 0, 0], [4, 2, 128, 2]]",68568
5,"[[2, 0, 0, 0], [32, 2, 0, 0], [32, 0, 0, 0], [4, 2, 128, 2]]",68568,down,68,"[[0, 0, 2, 0], [2, 0, 0, 0], [64, 0, 0, 0], [4, 4, 128, 2]]",68636
5,"[[0, 0, 2, 0], [2, 0, 0, 0], [64, 0, 0, 0], [4, 4, 128, 2]]",68636,right,8,"[[0, 0, 0, 2], [0, 0, 0, 2], [0, 4, 0, 64], [0, 8, 128, 2]]",68644
5,"[[0, 0, 0, 2], [0, 0, 0, 2], [0, 4, 0, 64], [0, 8, 128, 2]]",68644,left,0,"[[2, 0, 0, 4], [2, 0, 0, 0], [4, 64, 0, 0], [8, 128, 2, 0]]",68644
5,"[[2, 0, 0, 4], [2, 0, 0, 0], [4, 64, 0, 0], [8, 128, 2, 0]]",68644,up,4,"[[4, 64, 2, 4], [4, 128, 0, 0], [8, 0, 0, 0], [2, 0, 0, 0]]",68648
5,"[[4, 64, 2, 4], [4, 128, 0, 0], [8, 0, 0, 0], [2, 0, 0, 0]]",68648,down,8,"[[0, 0, 0, 0], [8, 0, 4, 0], [8, 64, 0, 0], [2, 128, 2, 4]]",68656
5,"[[0, 0, 0, 0], [8, 0, 4, 0], [8, 64, 0, 0], [2, 128, 2, 4]]",68656,up,16,"[[16, 64, 4, 4], [2, 128, 2, 0], [0, 0, 0, 2], [0, 0, 0, 0]]",68672
5,"[[16, 64, 4, 4], [2, 128, 2, 0], [0, 0, 0, 2], [0, 0, 0, 0]]",68672,left,8,"[[16, 64, 8, 0], [2, 128, 2, 0], [2, 0, 0, 0], [0, 2, 0, 0]]",68680
5,"[[16, 64, 8, 0], [2, 128, 2, 0], [2, 0, 0, 0], [0, 2, 0, 0]]",68680,down,4,"[[0, 0, 0, 0], [0, 64, 0, 0], [16, 128, 8, 2], [4, 2, 2, 0]]",68684
